documento,numero,fecha,grupo1,tipo,pedido,numpedido
18008791,1653.61,28/11/18,PACO REINA,Factura,Pedido,19826
18008792,14.58,28/11/18,PACO REINA,Factura,Pedido,20060
18001699,410.63,08/03/18,PACO REINA,Factura,Pedido,19826
18004629,227.50,28/06/18,PACO REINA,Factura,Pedido,19966
18006139,49.91,24/08/18,PACO REINA,Factura,Pedido,20161
18006140,626.20,24/08/18,PACO REINA,Factura,Pedido,20060
18006141,270.91,28/08/18,PACO REINA,Factura,Pedido,16621
18006142,125.40,28/08/18,PACO REINA,Factura,Pedido,20179
18006143,386.01,28/08/18,PACO REINA,Factura,Pedido,19826
18001341,1138.90,26/02/18,PACO REINA,Factura,Pedido,20112
18006145,1191.35,30/08/18,PACO REINA,Factura,Pedido,19966
18000922,2306.23,08/02/18,PACO CANTERO,Factura,Pedido,16994
18000923,303.30,08/02/18,PACO CANTERO,Factura,Pedido,16527
18000744,1119.61,01/02/18,PACO CANTERO,Factura,Pedido,20257
18000728,171.79,01/02/18,PACO CANTERO,Factura,Pedido,20169
18000924,3460.75,08/02/18,PACO CANTERO,Factura,Pedido,20113
18000925,1667.02,08/02/18,PACO CANTERO,Factura,Pedido,18354
18000926,1366.06,08/02/18,PACO CANTERO,Factura,Pedido,20068
18000927,497.76,08/02/18,PACO CANTERO,Factura,Pedido,18009
18000928,606.12,08/02/18,PACO CANTERO,Factura,Pedido,18853
18000929,120.62,08/02/18,PACO CANTERO,Factura,Pedido,20415
18000930,13.07,08/02/18,PACO CANTERO,Factura,Pedido,19990
18000931,174.08,08/02/18,PACO CANTERO,Factura,Pedido,17055
18000932,110.20,08/02/18,PACO CANTERO,Factura,Pedido,20064
18000933,167.66,08/02/18,PACO CANTERO,Factura,Pedido,16383
18000934,55.57,08/02/18,PACO CANTERO,Factura,Pedido,19878
18001506,2520.38,05/03/18,PACO CANTERO,Factura,Pedido,19778
18000935,211.09,08/02/18,PACO CANTERO,Factura,Pedido,20531
18000936,146.26,08/02/18,PACO CANTERO,Factura,Pedido,18095
18002098,10.80,22/03/18,PACO CANTERO,Factura,Pedido,17803
18000937,44.05,08/02/18,PACO CANTERO,Factura,Pedido,17803
18000938,885.50,08/02/18,PACO CANTERO,Factura,Pedido,20257
18000727,311.62,01/02/18,PACO CANTERO,Factura,Pedido,20067
18001507,535.48,05/03/18,PACO CANTERO,Factura,Pedido,20067
18000726,426.38,01/02/18,PACO CANTERO,Factura,Pedido,19778
18000725,90.68,01/02/18,PACO CANTERO,Factura,Pedido,16164
18002097,398.07,22/03/18,PACO CANTERO,Factura,Pedido,20531
18000742,16.18,01/02/18,PACO CANTERO,Factura,Pedido,20684
18000741,44.05,01/02/18,PACO CANTERO,Factura,Pedido,20152
18000740,534.23,01/02/18,PACO CANTERO,Factura,Pedido,18095
18000739,202.87,01/02/18,PACO CANTERO,Factura,Pedido,19878
18002096,242.87,22/03/18,PACO CANTERO,Factura,Pedido,19878
18002095,1104.39,22/03/18,PACO CANTERO,Factura,Pedido,17055
18000746,55.78,01/02/18,PACO CANTERO,Factura,Pedido,19926
18002094,186.19,22/03/18,PACO CANTERO,Factura,Pedido,19990
18002093,496.26,22/03/18,PACO CANTERO,Factura,Pedido,18009
18001505,39.25,05/03/18,PACO CANTERO,Factura,Pedido,16164
18000745,425.80,01/02/18,PACO CANTERO,Factura,Pedido,20010
18000738,101.64,01/02/18,PACO CANTERO,Factura,Pedido,16383
18000737,193.17,01/02/18,PACO CANTERO,Factura,Pedido,17055
18000743,136.76,01/02/18,PACO CANTERO,Factura,Pedido,17803
18000736,454.43,01/02/18,PACO CANTERO,Factura,Pedido,19990
18000735,71.17,01/02/18,PACO CANTERO,Factura,Pedido,20415
18000734,506.20,01/02/18,PACO CANTERO,Factura,Pedido,18009
18000919,1344.72,08/02/18,PACO CANTERO,Factura,Pedido,19778
18000733,1496.85,01/02/18,PACO CANTERO,Factura,Pedido,20068
18000732,485.53,01/02/18,PACO CANTERO,Factura,Pedido,18354
18000731,173.30,01/02/18,PACO CANTERO,Factura,Pedido,20082
18000730,697.18,01/02/18,PACO CANTERO,Factura,Pedido,20113
18000920,697.77,08/02/18,PACO CANTERO,Factura,Pedido,20067
18000729,483.63,01/02/18,PACO CANTERO,Factura,Pedido,18368
18007826,734.32,25/10/18,PACO CANTERO,Factura,Pedido,19778
18000921,12.72,08/02/18,PACO CANTERO,Factura,Pedido,20016
18000948,4094.69,12/02/18,PACO CANTERO,Factura,Pedido,20311
18002101,2966.84,22/03/18,PACO CANTERO,Factura,Pedido,20257
18002102,4794.53,22/03/18,PACO CANTERO,Factura,Pedido,20311
18009190,86.84,05/12/18,PACO CANTERO,Factura,Pedido,19778
18009189,2107.95,05/12/18,PACO CANTERO,Factura,Pedido,19778
18009188,596.17,05/12/18,PACO CANTERO,Factura,Pedido,19926
18009187,1272.70,05/12/18,PACO CANTERO,Factura,Pedido,20010
18009186,1345.21,05/12/18,PACO CANTERO,Factura,Pedido,20257
18009185,81.10,05/12/18,PACO CANTERO,Factura,Pedido,20565
18009184,154.25,05/12/18,PACO CANTERO,Factura,Pedido,17803
18009183,359.95,05/12/18,PACO CANTERO,Factura,Pedido,20152
18009182,17.73,05/12/18,PACO CANTERO,Factura,Pedido,20531
18009181,348.55,05/12/18,PACO CANTERO,Factura,Pedido,19878
18008774,182.91,22/11/18,PACO CANTERO,Factura,Pedido,19778
18009180,462.46,05/12/18,PACO CANTERO,Factura,Pedido,16383
18009179,700.83,05/12/18,PACO CANTERO,Factura,Pedido,18853
18008773,188.58,22/11/18,PACO CANTERO,Factura,Pedido,19778
18009178,3073.08,05/12/18,PACO CANTERO,Factura,Pedido,18009
18009177,327.32,05/12/18,PACO CANTERO,Factura,Pedido,20068
18009176,1398.85,05/12/18,PACO CANTERO,Factura,Pedido,18354
18009175,44.89,05/12/18,PACO CANTERO,Factura,Pedido,20113
18009174,17.71,05/12/18,PACO CANTERO,Factura,Pedido,16527
18009173,313.12,05/12/18,PACO CANTERO,Factura,Pedido,16994
18009172,591.58,05/12/18,PACO CANTERO,Factura,Pedido,20067
18009171,2361.82,05/12/18,PACO CANTERO,Factura,Pedido,20747
18009170,86.42,05/12/18,PACO CANTERO,Factura,Pedido,16164
18003058,21.60,03/05/18,PACO CANTERO,Factura,Pedido,19782
18003057,68.40,03/05/18,PACO CANTERO,Factura,Pedido,16211
